#id,name,request_email,publication_scheme,home_page,tag_string,notes
1,Internal admin authority,dada@where.tf,,,"",
2,Ministère des sites de test,dada@where.tf,,,"",Une autorité de test
14456,Plateforme d'accompagnement et de répit pour les aidants de personnes âgées - Reyrieux,dada@where.tf,,,"","Rue du Collège,1600,Reyrieux- Tél : 04 81 91 91 30- Fax :"
14457,Agence départementale d'information sur le logement (Adil) - Ain,dada@where.tf,,http://www.adil01.org,"","34 rue du Général-Delestraint,1000,Bourg-en-Bresse- Tél : 04 74 21 82 77- Fax :"
14458,Agence nationale pour la formation professionnelle des adultes (Afpa) - Centre de Bourg-en-Bresse,"",,https://www.afpa.fr,"","17 route de Seillon,1000,Bourg-en-Bresse- Tél : 3936 / Numéro violet : service payant + prix appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel)- Fax :"
14459,Agence nationale de l'habitat (Anah) - Ain,dada@where.tf,,http://www.anah.fr,"","13 avenue de la Victoire - CS 415,1000,Bourg-en-Bresse- Tél : 04 74 32 32 60- Fax :"
14460,Banque de France - Succursale départementale -  Bourg-en-Bresse,"",,http://www.banque-france.fr,"","15 avenue Alphonse Baudin - CS 30001,1000,Bourg-en-Bresse- Tél : 04 74 32 77 70 / Accueil téléphonique au 0811 901 801 du lundi au vendredi de 8h à 18h. Tarif 5 cts d'euro par mn plus le prix d'un appel. Informations générales sur la réglementation bancaire, le crédit, le surendettement -commission de surendettement : dépôt de dossier, suivi et information-, les fichiers d'incidents de paiement et le droit au compte.- Fax :"
14461,Bureau d'aide aux victimes du tribunal de grande instance de Bourg en Bresse,"",,,"","32 avenue Alsace Lorraine - CS 30306,1011,BOURG EN BRESSE CEDEX- Tél : 04 26 37 73 00- Fax :"
14462,Bureau de douane - Ferney-Voltaire,dada@where.tf,,http://www.douane.gouv.fr,"","BP 137 - Route de Genève,1216,Ferney-Voltaire Cedex- Tél : 09 70 27 31 83- Fax : 04.50.40.09.55"
14463,Bureau de douane (viticulture) - Bourg-en-Bresse,dada@where.tf,,http://www.douane.gouv.fr,"","650 rue Lavoisier,1960,Péronnas- Tél : 09 70 27 32 55- Fax : 04 74 45 05 40"
14464,Caisse d'allocations familiales (Caf) de l'Ain - accueil d'Ambérieu-en-Bugey,"",,https://www.caf.fr,"","5 rue Berthelot,1500,Ambérieu-en-Bugey- Tél : 08 10 25 01 10 / Numéro violet : service payant + prix d’un appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel)- Fax :"
14465,Caisse d'allocations familiales (Caf) de l'Ain - accueil de Bellegarde-sur-Valserine,"",,https://www.caf.fr,"","Centre de paiement de la caisse primaire d'assurance maladie - 8 rue Zéphirin-Jeantet,1200,Bellegarde-sur-Valserine- Tél : 08 10 25 01 10 / Numéro violet : service payant + prix d’un appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel)- Fax :"
14466,Caisse d'allocations familiales (Caf) de l'Ain - accueil de Belley,"",,https://www.caf.fr,"","Centre de paiement de la caisse primaire d'assurance maladie - Boulevard du Mail,1300,Belley- Tél : 08 10 25 01 10 / Numéro violet : service payant + prix d’un appel (dépend de votre opérateur, pour connaître le tarif écoutez le message en début d’appel)- Fax :"
