#id,name,request_email,notes,home_page,tag_string,valid_email,commune
agefiph-63113-01,Agefiph - Auvergne-Rhône-Alpes,auvergne-rhones-alpes@agefiph.asso.fr,"Adresse : Immeuble Gergovia - 65 boulevard François-Mitterrand - 6e étage,63010,Clermont-Ferrand | Tél : 08 00 11 10 09 / Numéro vert : service et appel gratuits. | Fax : 04 73 34 76 93",http://www.agefiph.fr,agefiph,True,Clermont-Ferrand
agefiph-38193-01,Agefiph - Auvergne-Rhône-Alpes,auvergne-rhone-alpes@agefiph.asso.fr,"Adresse : Parc d'affaires de Saint-Hubert - 33 rue Saint-Théobald,38080,L'Isle-d'Abeau | Tél : 08 00 11 10 09 / Numéro vert : service et appel gratuits. | Fax : 04 74 94 08 93 ",http://www.agefiph.fr,agefiph,True,L'Isle-d'Abeau
agefiph-51454-01,Agefiph - Grand Est,grand-est@agefiph.asso.fr,"Adresse : Immeuble Reims 2000 - 95 boulevard du Général-Leclerc - 4e étage,501100,Reims | Tél : 08 00 11 10 09 / Numéro vert : service et appel gratuits. | Fax : 03 26 50 66 20",http://www.agefiph.fr,agefiph,True,Reims
agefiph-54395-01,Agefiph - Grand Est,grand-est@agefiph.asso.fr,"Adresse : Immeuble Joffre-Saint-Thiébaut - 13-15 boulevard Joffre,54000,Nancy | Tél : 08 00 11 10 09 / Numéro vert : service et appel gratuits. | Fax : 03 83 90 81 41",http://www.agefiph.fr,agefiph,True,Nancy
agefiph-59350-01,Agefiph - Hauts-de-France,hauts-de-france@agefiph.asso.fr,"Adresse : 27 bis rue du Vieux-Faubourg,59040,Lille Cedex | Tél : 08 00 11 10 09 / Numéro vert : service et appel gratuits. | Fax : 03 20 14 57 39",http://www.agefiph.fr,agefiph,True,Lille
agefiph-80021-01,Agefiph - Hauts-de-France,hauts-de-france@agefiph.asso.fr,"Adresse : 3 rue Vincent-Auriol - CS 64801,80048,Amiens Cedex 1 | Tél : 08 00 11 10 09 / Numéro vert : service et appel gratuits. | Fax : 03 22 54 26 85",http://www.agefiph.fr,agefiph,True,Amiens
agefiph-33063-01,Agefiph - Nouvelle-Aquitaine,nouvelle-aquitaine@agefiph.asso.fr,"Adresse : ZAC Coeur-de-Bastide - Le Millénium 2 - 13 rue Jean-Paul-Alaux,33072,Bordeaux Cedex | Tél : 08 00 11 10 09 / Numéro vert : service et appel gratuits. | Fax : 05 56 49 66 74",http://www.agefiph.fr,agefiph,True,Bordeaux
agefiph-87085-01,Agefiph - Nouvelle-Aquitaine,nouvelle-aquitaine@agefiph.asso.fr,"Adresse : Immeuble Manager 2 - 3 cours Gay-Lussac,87008,Limoges Cedex | Tél : 08 00 11 10 09 / Numéro vert : service et appel gratuits. | Fax : 05 87 19 38 86",http://www.agefiph.fr,agefiph,True,Limoges
agefiph-86194-01,Agefiph - Nouvelle-Aquitaine,nouvelle-aquitaine@agefiph.asso.fr,"Adresse : Capitole V - 14 boulevard Chasseigne,86035,Poitiers Cedex | Tél : 08 00 11 10 09 / Numéro vert : service et appel gratuits. | Fax : 05 49 60 34 44",http://www.agefiph.fr,agefiph,True,Poitiers
agefiph-31555-01,Agefiph - Occitanie,occitanie@agefiph.asso.fr,"Adresse : Immeuble la Passerelle Saint Aubin - 17 boulevard de la Gare - BP 95827,301505,Toulouse Cedex 5 | Tél : 08 00 11 10 09 / Numéro vert : service et appel gratuits. | Fax : 05 62 47 88 25",http://www.agefiph.fr,agefiph,True,Toulouse
agefiph-34172-01,Agefiph - Occitanie,occitanie@agefiph.asso.fr,"Adresse : ZAC Antigone - Immeuble Antalya - 119 Avenue Jacques-Cartier - CS 019008,34967,Montpellier Cedex 2 | Tél : 08 00 11 10 09 / Numéro vert : service et appel gratuits. | Fax : 04 99 13 73 25",http://www.agefiph.fr,agefiph,True,Montpellier
ademe-14327-01,Agence de lenvironnement et de la maîtrise de lénergie (ADEME) - Normandie,Ademe.normandie@Ademe.fr,"Adresse : Immeuble les Galets du Roi - 30 rue Gadeau-de-Kerville, 76100, Rouen | Tél : 02 35 62 24 42 | Fax : ",http://www.normandie.Ademe.fr,ademe,True,Rouen
ademe-76540-01,Agence de lenvironnement et de la maîtrise de lénergie (ADEME) - Normandie,Ademe.normandie@Ademe.fr,"Adresse : 30 rue Gadeau-de-Kerville - Immeuble Les Galées du Roi,76100,Rouen | Tél : 02 35 62 24 42 | Fax : 02 32 81 93 13",http://www.normandie.Ademe.fr,ademe,True,Rouen
anah-49007-01,Agence nationale de l'habitat (Anah) - Maine-et-Loire,ddt-anah@maine-et-loire.gouv.fr,"Adresse : Direction départementale des territoires (DDT) - Service Construction Habitat Ville - 15 bis rue Dupetit-Thouars,49047,Angers Cedex 1 | Tél : 02 41 86 66 07 | Fax : 02 41 86 82 76",http://www.anah.fr,anah,True,Angers
anah-49007-02,Agence nationale de l'habitat (Anah) - Maine-et-Loire,cellulehabitat@maine-et-loire.fr,"Adresse : Service logement et développement social - Hôtel du département - 48 boulevard Maréchal-Foch - CS 94104,49941,Angers Cedex 09 | Tél : 02 41 18 80 79 | Fax : ",http://www.maine-et-loire.fr,anah,True,Angers
afpa-97411-01,Assistance à la formation professionnelle des adultes à la Réunion (AFPAR),cfpa-nord@afpar.com,"Adresse : 70 boulevard de Saint-François,97487,Saint-Denis | Tél : +262 2 62 90 21 90 | Fax : +262 2 62 90 21 99",http://www.afpar.com,afpa,True,Saint-Denis
afpa-97411-02,Assistance à la formation professionnelle des adultes à la Réunion (AFPAR),direction@afpar.com,"Adresse : 151 rue Juliette-Dodu,97487,Saint-Denis Cedex | Tél : +262 2 62 94 72 60 | Fax : +262 2 62 21 36 13",http://www.afpar.com,afpa,True,Saint-Denis
gendarmerie-97410-01,Brigade de gendarmerie - Sainte-Anne,cob.st-benoit@gendarmerie.interieur.gouv.fr,"Adresse : Sainte-Anne - 1 rue Roger Dijoux,97470,Saint-Benoît | Tél : +262 97 50 60 | Fax : +262 97 50 64",http://www.gendarmerie.interieur.gouv.fr,gendarmerie,True,Saint-Benoît
gendarmerie-97128-01,Brigade de gendarmerie - Sainte-Anne,bta.ste-anne@gendarmerie.interieur.gouv.fr,"Adresse : 1 Impasse Joas Section Castaing,97180,Sainte-Anne | Tél : +590 85 19 50 | Fax : +590 85 19 60",http://www.gendarmerie.interieur.gouv.fr,gendarmerie,True,Sainte-Anne
cij-41018-02,Bureau information jeunesse - Blois,contact@infojeune41.org,"Adresse : 15 avenue Vendôme,401000,Blois | Tél : 02 54 78 54 87 | Fax : ",http://www.infojeune41.org,cij,True,Blois
cij-41018-01,Bureau information jeunesse - Blois,contact@infojeune41.org,"Adresse : 15 avenue de Vendôme,401000,Blois | Tél : 02 54 78 54 87 | Fax : ",http://www.infojeune41.org,cij,True,Blois
cij-78440-03,Bureau information jeunesse - Les Mureaux,bij@mairie-lesmureaux.fr,"Adresse : 100 rue Paul-Doumer,78130,Les Mureaux | Tél : 01 30 91 39 34 | Fax : 01 40 91 39 46",http://www.lesmureaux.fr,cij,True,Les Mureaux
cij-78440-02,Bureau information jeunesse - Les Mureaux,bij@mairie-lesmureaux.fr,"Adresse : 100 rue Paul-Doumer,78130,Les Mureaux | Tél : 01 30 91 39 34 | Fax : ",http://www.mairie-lesmureaux.fr,cij,True,Les Mureaux
cij-78517-02,Bureau information jeunesse - Rambouillet,bij@usineachapeaux.fr,"Adresse : MJC Centre Social - 32 rue Gambetta,78120,Rambouillet | Tél : 01 30 88 89 01 | Fax : ",http://www.yij78.org,cij,True,Rambouillet
cij-78517-01,Bureau information jeunesse - Rambouillet,bij@usineachapeaux.fr,"Adresse : Maison des jeunes et de la culture - Centre social L'usine à chapeaux - 32 rue Gambetta,78120,Rambouillet | Tél : 01 30 88 89 01 | Fax : 01 30 88 89 03",http://www.usineachapeaux.fr,cij,True,Rambouillet
cij-92063-02,Bureau information jeunesse - Rueil-Malmaison,bij@mairie-rueilmalmaison.fr,"Adresse : 16 rue Jean-Mermoz,92500,Rueil-Malmaison | Tél : 01 47 32 82 78 | Fax : ",,cij,True,Rueil-Malmaison
cij-92063-01,Bureau information jeunesse - Rueil-Malmaison,bij@mairie-rueilmalmaison.fr,"Adresse : 16 rue Jean-Mermoz,92500,Rueil-Malmaison | Tél : 01 47 32 82 78 | Fax : ",,cij,True,Rueil-Malmaison
cidf-67180-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Bas-Rhin,strasbourg@cidff67.fr,"Adresse : 24 rue du 22-Novembre,67000,Strasbourg | Tél : 03 88 32 03 22 | Fax : 03 88 24 60 86",http://www.cidff67.fr,cidf,True,Strasbourg
cidf-67482-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Bas-Rhin,strasbourg@cidff67.fr,"Adresse : 24 rue du 22-Novembre,67000,Strasbourg | Tél : 03 88 32 03 22 | Fax : 03 88 24 60 86",http://www.cidff67.fr,cidf,True,Strasbourg
cidf-13004-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Bouches-du-Rhône,accueil.cidff.arles@gmail.com,"Adresse : Espace Chiavary - 12 boulevard Emile-Zola, 013200, Arles | Tél : 04 90 93 47 76 | Fax : 09 72 43 28 03",http://bouchesdurhone-arles.cidff.info,cidf,True,Arles
cidf-13201-01,Centre d'information sur les droits des femmes et des familles (CIDFF) - Bouches-du-Rhône,contact@cidff13.net,"Adresse : Immeuble Le Strasbourg 2 - 1 rue de Forbin, 013003, Marseille | Tél : 04 96 11 07 99 | Fax : 04 91 55 57 25",http://www.bouchesdurhone-phoceen.cidff.info,cidf,True,Marseille
