#id,name,request_email,notes,home_page,tag_string,valid_email,commune,commune_in_name
gendarmerie-97128-01,Brigade de gendarmerie - Sainte-Anne 97128-01,bta.ste-anne@gendarmerie.interieur.gouv.fr,"Adresse : 1 Impasse Joas Section Castaing,97180,Sainte-Anne | Tél : +590 85 19 50 | Fax : +590 85 19 60",http://www.gendarmerie.interieur.gouv.fr,gendarmerie,True,Sainte-Anne,True
cij-41018-02,Bureau information jeunesse - Blois 41018-02,contact@infojeune41.org,"Adresse : 15 avenue Vendôme,401000,Blois | Tél : 02 54 78 54 87 | Fax : ",http://www.infojeune41.org,cij,True,Blois,True
cij-41018-01,Bureau information jeunesse - Blois 41018-01,contact@infojeune41.org,"Adresse : 15 avenue de Vendôme,401000,Blois | Tél : 02 54 78 54 87 | Fax : ",http://www.infojeune41.org,cij,True,Blois,True
cij-78440-03,Bureau information jeunesse - Les Mureaux 78440-03,bij@mairie-lesmureaux.fr,"Adresse : 100 rue Paul-Doumer,78130,Les Mureaux | Tél : 01 30 91 39 34 | Fax : 01 40 91 39 46",http://www.lesmureaux.fr,cij,True,Les Mureaux,True
cij-78440-02,Bureau information jeunesse - Les Mureaux 78440-02,bij@mairie-lesmureaux.fr,"Adresse : 100 rue Paul-Doumer,78130,Les Mureaux | Tél : 01 30 91 39 34 | Fax : ",http://www.mairie-lesmureaux.fr,cij,True,Les Mureaux,True
cij-78517-02,Bureau information jeunesse - Rambouillet 78517-02,bij@usineachapeaux.fr,"Adresse : MJC Centre Social - 32 rue Gambetta,78120,Rambouillet | Tél : 01 30 88 89 01 | Fax : ",http://www.yij78.org,cij,True,Rambouillet,True
cij-78517-01,Bureau information jeunesse - Rambouillet 78517-01,bij@usineachapeaux.fr,"Adresse : Maison des jeunes et de la culture - Centre social L'usine à chapeaux - 32 rue Gambetta,78120,Rambouillet | Tél : 01 30 88 89 01 | Fax : 01 30 88 89 03",http://www.usineachapeaux.fr,cij,True,Rambouillet,True
cij-92063-02,Bureau information jeunesse - Rueil-Malmaison 92063-02,bij@mairie-rueilmalmaison.fr,"Adresse : 16 rue Jean-Mermoz,92500,Rueil-Malmaison | Tél : 01 47 32 82 78 | Fax : ",,cij,True,Rueil-Malmaison,True
cij-92063-01,Bureau information jeunesse - Rueil-Malmaison 92063-01,bij@mairie-rueilmalmaison.fr,"Adresse : 16 rue Jean-Mermoz,92500,Rueil-Malmaison | Tél : 01 47 32 82 78 | Fax : ",,cij,True,Rueil-Malmaison,True
cio-93048-01,Centre dinformation et dorientation (CIO) - Montreuil 93048-01,cio.montreuil@ac-creteil.fr,"Adresse : 21 avenue Walwein,93100,Montreuil | Tél : 01 48 57 45 86 | Fax : ",http://orientation.ac-creteil.fr,cio,True,Montreuil,True
cio-97411-01,Centre dinformation et dorientation (CIO) - Saint-Denis 97411-01,cio-saint-denis@ac-reunion.fr,"Adresse : 5 rue Maréchal-Lerclerc,97400,Saint-Denis | Tél : 02 62 21 18 81 | Fax : 02 62 30 33 85",http://www.ac-reunion.fr,cio,True,Saint-Denis,True
cio-93066-01,Centre dinformation et dorientation (CIO) - Saint-Denis 93066-01,cio.st-denis@ac-creteil.fr,"Adresse : 2-4 allée de Seine,93200,Saint-Denis | Tél : 01 48 22 28 28 | Fax : ",http://orientation.ac-creteil.frcio-saintdenis,cio,True,Saint-Denis,True
cio-68297-01,Centre dinformation et dorientation (CIO) - Saint-Louis 68297-01,cio.saint-louis@ac-strasbourg.fr,"Adresse : 4 rue Jean-Mermoz,68300,Saint-Louis | Tél : 03 89 69 80 08 | Fax : ",http://www.education.gouv.fr,cio,True,Saint-Louis,True
cio-97414-01,Centre dinformation et dorientation (CIO) - Saint-Louis 97414-01,cio.saint-louis@ac-reunion.fr,"Adresse : 37 rue Sarda-Garriga - BP 149,97899,Saint-Louis Cedex 3 | Tél : +262 2 62 26 15 32 | Fax : +262 2 62 26 77 94",http://www.ac-reunion.fr,cio,True,Saint-Louis,True
