#id,name,request_email,notes,home_page,tag_string
gendarmerie-97128-01,Brigade de gendarmerie - Sainte-Anne 97128-01,bta.ste-anne@gendarmerie.interieur.gouv.fr,"Adresse : 1 Impasse Joas Section Castaing,97180,Sainte-Anne | Tél : +590 85 19 50 | Fax : +590 85 19 60",http://www.gendarmerie.interieur.gouv.fr,gendarmerie
cij-41018-01,Bureau information jeunesse - Blois 41018-01,contact@infojeune41.org,"Adresse : 15 avenue de Vendôme, 41000,Blois | Tél : 02 54 78 54 87 | Fax : ",http://www.infojeune41.org,cij
cij-41018-02,Bureau information jeunesse - Blois 41018-02,contact@infojeune41.org,"Adresse : 15 avenue Vendôme, 41000,Blois | Tél : 02 54 78 54 87 | Fax : ",http://www.infojeune41.org,cij
cij-78440-02,Bureau information jeunesse - Les Mureaux 78440-02,bij@mairie-lesmureaux.fr,"Adresse : 100 rue Paul-Doumer,78130,Les Mureaux | Tél : 01 30 91 39 34 | Fax : ",http://www.mairie-lesmureaux.fr,cij
cij-78440-03,Bureau information jeunesse - Les Mureaux 78440-03,bij@mairie-lesmureaux.fr,"Adresse : 100 rue Paul-Doumer,78130,Les Mureaux | Tél : 01 30 91 39 34 | Fax : 01 40 91 39 46",http://www.lesmureaux.fr,cij
cij-78517-02,Bureau information jeunesse - Rambouillet 78517-02,bij@usineachapeaux.fr,"Adresse : MJC Centre Social - 32 rue Gambetta,78120,Rambouillet | Tél : 01 30 88 89 01 | Fax : ",http://www.yij78.org,cij
cij-78517-01,Bureau information jeunesse - Rambouillet 78517-01,bij@usineachapeaux.fr,"Adresse : Maison des jeunes et de la culture - Centre social L'usine à chapeaux - 32 rue Gambetta,78120,Rambouillet | Tél : 01 30 88 89 01 | Fax : 01 30 88 89 03",http://www.usineachapeaux.fr,cij
cij-92063-02,Bureau information jeunesse - Rueil-Malmaison 92063-02,bij@mairie-rueilmalmaison.fr,"Adresse : 16 rue Jean-Mermoz,92500,Rueil-Malmaison | Tél : 01 47 32 82 78 | Fax : ",,cij
cij-92063-01,Bureau information jeunesse - Rueil-Malmaison 92063-01,bij@mairie-rueilmalmaison.fr,"Adresse : 16 rue Jean-Mermoz,92500,Rueil-Malmaison | Tél : 01 47 32 82 78 | Fax : ",,cij
cio-93048-01,Centre dinformation et dorientation (CIO) - Montreuil 93048-01,cio.montreuil@ac-creteil.fr,"Adresse : 21 avenue Walwein,93100,Montreuil | Tél : 01 48 57 45 86 | Fax : ",http://orientation.ac-creteil.fr,cio
cio-97411-01,Centre dinformation et dorientation (CIO) - Saint-Denis 97411-01,cio-saint-denis@ac-reunion.fr,"Adresse : 5 rue Maréchal-Lerclerc,97400,Saint-Denis | Tél : 02 62 21 18 81 | Fax : 02 62 30 33 85",http://www.ac-reunion.fr,cio
cio-93066-01,Centre dinformation et dorientation (CIO) - Saint-Denis 93066-01,cio.st-denis@ac-creteil.fr,"Adresse : 2-4 allée de Seine,93200,Saint-Denis | Tél : 01 48 22 28 28 | Fax : ",http://orientation.ac-creteil.frcio-saintdenis,cio
cio-68297-01,Centre dinformation et dorientation (CIO) - Saint-Louis 68297-01,cio.saint-louis@ac-strasbourg.fr,"Adresse : 4 rue Jean-Mermoz,68300,Saint-Louis | Tél : 03 89 69 80 08 | Fax : ",http://www.education.gouv.fr,cio
cio-97414-01,Centre dinformation et dorientation (CIO) - Saint-Louis 97414-01,cio.saint-louis@ac-reunion.fr,"Adresse : 37 rue Sarda-Garriga - BP 149,97899,Saint-Louis Cedex 3 | Tél : +262 2 62 26 15 32 | Fax : +262 2 62 26 77 94",http://www.ac-reunion.fr,cio
cij-85191-02,Centre information jeunesse - La Roche-sur-Yon 85191-02,14bis@larochesuryon.fr,"Adresse : Esplanade Jeannie-Mazurelle,85021,La Roche-sur-Yon | Tél : 02 51 36 95 95 | Fax : ",http://larochesuryon.frjeunes,cij
cij-85191-01,Centre information jeunesse - La Roche-sur-Yon 85191-01,14bis@larochesuryon.fr,"Adresse : Médiathèque Benjamin-Rabier,85000,La Roche-sur-Yon | Tél : 02 51 36 95 95 | Fax : ",http://www.villelarochesuryon/jeunes,cij
cij-44109-07,Centre régional information jeunesse - Nantes 44109-07,crij@infos-jeunes.fr,"Adresse : 37, rue Saint-Léonard,44000,Nantes | Tél : | Fax : ",http://www.infos-jeunes.fr,cij
cij-44109-01,Centre régional information jeunesse - Nantes 44109-01,crij@infos-jeunes.fr,"Adresse : 37 rue Saint-Léonard,44000,Nantes | Tél : 02 51 72 94 50 | Fax : 02 40 20 16 88",http://www.infos-jeunes.fr,cij
cij-44109-05,Centre régional information jeunesse - Nantes 44109-05,crij@infos-jeunes.fr,"Adresse : 37 rue Saint-Léonard,44000,Nantes | Tél : 02 51 72 94 50 | Fax : ",http://www.infos-jeunes.fr,cij
commissariat_police-85191-01,Commissariat de police de La Roche-sur-Yon 85191-01,ddsp85@interieur.gouv.fr,"Adresse : 3 rue Dellile - BP 769,85020,La Roche-sur-Yon Cedex | Tél : 02 51 45 16 00 / appeler le 17 en cas d'urgence | Fax : 02 51 45 16 16",http://www.police-nationale.interieur.gouv.fr,commissariat_police
commissariat_police-26362-01,Commissariat de police de Valence 26362-01,ddsp26@interieur.gouv.fr,"Adresse : 21 rue Farnerie, 26000, Valence | Tél : 04 75 82 22 22 / appeler le 17 en cas d'urgence | Fax : ",http://www.police-nationale.interieur.gouv.fr,commissariat_police
greta-13210-01,Greta - Marseille-Méditerranée 13210-01,gmm@ac-aix-marseille.fr,"Adresse : Lycée Jean-Perrin - 74 rue Verdillon, 13010, Marseille | Tél : 04 91 96 35 30 | Fax : 04 91 74 01 03",http://www.gretanet.com,greta
