#id,name,request_email,notes,home_page,tag_string,valid_email,publication_scheme,_merge
mairie-65019-01,Mairie - Arcizac-Adour,arcizac-adour@wanadoo.fr,"Adresse : Place du 11-Novembre-01918,65360,Arcizac-Adour | Tél : 05 62 45 92 28 | Fax : ",http://www.arcizac-adour.fr,mairie,True,,left_only
mairie-65020-01,Mairie - Arcizac-ez-Angles,mairie.arcizac@wanadoo.fr,"Adresse : 7 rue Honoré-Auzon,65100,Arcizac-ez-Angles | Tél : 05 62 42 94 56 | Fax : 05 62 42 94 56",,mairie,True,,left_only
mairie-65021-01,Mairie - Arcizans-Avant,mairie.arcizans-avant@orange.fr,"Adresse : 10 camin de Brouca,65400,Arcizans-Avant | Tél : 05 62 97 11 59 | Fax : ",http://www.arcizans-avant.fr,mairie,True,,left_only
mairie-65022-01,Mairie - Arcizans-Dessus,mairie.arcizans-dessus@wanadoo.fr,"Adresse : Place de la Mairie,65400,Arcizans-Dessus | Tél : 05 62 97 52 54 | Fax : ",,mairie,True,,left_only
mairie-65023-01,Mairie - Ardengost,ardengost.mairie@hotmail.fr,"Adresse : Village,65240,Ardengost | Tél : 06 27 24 26 92 | Fax : ",https://www.aure-louron.fr/,mairie,True,,left_only
mairie-65024-01,Mairie - Argelès-Bagnères,mairie.argeles.bagneres@orange.fr,"Adresse : Lieu-dit Biella,65200,Argelès-Bagnères | Tél : 05 62 91 27 16 | Fax : 05 62 91 27 16",,mairie,True,,left_only
mairie-65025-01,Mairie - Argelès-Gazost,dgs@mairie-argeles-gazost.com,"Adresse : 6 place de la République,65400,Argelès-Gazost | Tél : 05 62 97 22 66 | Fax : 05 62 97 50 18",http://www.argeles-gazost.fr,mairie,True,,left_only
mairie-65026-01,Mairie - Aries-Espénan,aries-espenan.mairie@wanadoo.fr,"Adresse : Le Village,65230,Aries-Espénan | Tél : 09 75 48 84 69 | Fax : ",,mairie,True,,left_only
mairie-65028-01,Mairie - Arné,mairiearne@laposte.net,"Adresse : 1 place de la Mairie-et-de-Laïcité,65670,Arné | Tél : 05 62 99 41 96 | Fax : ",,mairie,True,,left_only
mairie-65029-01,Mairie - Arras-en-Lavedan,arrasenlavedan@wanadoo.fr,"Adresse : Rue du Val-d'Azun,65400,Arras-en-Lavedan | Tél : 05 62 97 07 67 | Fax : ",http://www.arrasenlavedan.frpublic,mairie,True,,left_only
mairie-65031-01,Mairie - Arreau,mairie-arreau@wanadoo.fr,"Adresse : 1 place de la Mairie,65240,Arreau | Tél : 05 62 40 75 60 | Fax : ",http://www.mairie-arreau.fr,mairie,True,,left_only
mairie-65032-01,Mairie - Arrens-Marsous,mairie.arrens-marsous@wanadoo.fr,"Adresse : 4 place de la Mairie,65400,Arrens-Marsous | Tél : 05 62 97 02 54 | Fax : 05 62 97 40 60",http://www.arrens-marsous.fr,mairie,True,,left_only
mairie-65033-01,Mairie - Arrodets-ez-Angles,cccb@orange.fr,"Adresse : Chemin de la Bialade,65100,Arrodets-ez-Angles | Tél : 05 62 42 91 02 | Fax : ",,mairie,True,,left_only
mairie-65035-01,Mairie - Artagnan,artagnan.cne@wanadoo.fr,"Adresse : 2 rue du Centre,65500,Artagnan | Tél : 05 62 96 72 63 | Fax : 05 62 96 72 63",,mairie,True,,left_only
mairie-65036-01,Mairie - Artalens-Souin,mairie-artalens-souin@wanadoo.fr,"Adresse : 2 place de la Mairie,65400,Artalens-Souin | Tél : 05 62 97 53 28 | Fax : ",,mairie,True,,left_only
mairie-65037-01,Mairie - Artiguemy,mairie.artiguemy@gmail.com,"Adresse : 1 rue des Baronnies,65130,Artiguemy | Tél : 05 62 39 03 48 | Fax : ",,mairie,True,,left_only
mairie-65038-01,Mairie - Artigues,mairie.artigues65@orange.fr,"Adresse : Village,65100,Artigues | Tél : 05 62 45 12 05 | Fax : ",,mairie,True,,left_only
mairie-65039-01,Mairie - Aspin-Aure,commune.aspin.aure@orange.fr,Adresse : Hôtel de VilleAdresse : ,,mairie,True,,left_only
mairie-65040-01,Mairie - Aspin-en-Lavedan,commune.aspinenlavedan@wanadoo.fr,"Adresse : 1 rue de la Ribère,65100,Aspin-en-Lavedan | Tél : 05 62 94 46 56 | Fax : 05 62 53 59 04",,mairie,True,,left_only
mairie-65041-01,Mairie - Asque,asque.mairie@wanadoo.fr,"Adresse : 18 chemin du Lhéris,65130,Asque | Tél : 05 62 39 18 77 | Fax : ",http://www.mairie-asque.fr,mairie,True,,left_only
mairie-65042-01,Mairie - Aste,mairie.aste@wanadoo.fr,"Adresse : 13 rue Dané,65200,Asté | Tél : 05 62 91 76 49 | Fax : 05 62 45 30 93",http://www.village-aste.fr,mairie,True,,left_only
mairie-65043-01,Mairie - Astugue,mairie.astugue@wanadoo.fr,"Adresse : 20 rue Saint-André,65200,Astugue | Tél : 05 62 95 35 99 | Fax : ",,mairie,True,,left_only
mairie-65044-01,Mairie - Aubarède,mairie.aubarede@orange.fr,"Adresse : 1 place de la Mairie,65350,Aubarède | Tél : 05 62 35 12 96 | Fax : ",,mairie,True,,left_only
mairie-65045-01,Mairie - Aucun,aucun2@wanadoo.fr,"Adresse : 23 route d'Azun,65400,Aucun | Tél : 05 62 97 26 49 | Fax : ",http://www.aucun-pyrenees.fr,mairie,True,,left_only
mairie-65046-01,Mairie - Aulon,communeaulon@wanadoo.fr,"Adresse : Place du Village,65240,Aulon | Tél : 05 62 39 96 83 | Fax : ",,mairie,True,,left_only
mairie-65047-01,Mairie - Aureilhan,mairie.aureilhan@ville-aureilhan.fr,"Adresse : Place François-Mitterrand,65800,Aureilhan | Tél : 05 62 38 91 50 | Fax : 05 62 38 91 59",http://www.ville-aureilhan.fr,mairie,True,,left_only
