#id,name,request_email,notes,home_page,tag_string
mairie-71516-01,Mairie - Serley,mairie.serley@wanadoo.fr,"Adresse : Le Bourg, 71310,Serley | Tél : 03 85 76 12 40 | Fax : 03 85 76 16 75",http://www.serley71.fr,mairie
mairie-71517-01,Mairie - Sermesse,mairie.sermesse@wanadoo.fr,"Adresse : 16 route Nationale, 71350,Sermesse | Tél : 03 85 91 56 71 | Fax : ",,mairie
mairie-71519-01,Mairie - Serrigny-en-Bresse,mairie.serrigny@wanadoo.fr,"Adresse : 12 rue du Bourg, 71310,Serrigny-en-Bresse | Tél : 03 85 47 71 23 | Fax : 03 85 47 71 23",,mairie
mairie-71520-01,Mairie - Sevrey,sevrey@wanadoo.fr,"Adresse : 36 rue Louis-Verchère, 71100,Sevrey | Tél : 03 85 92 93 70 | Fax : 03 85 92 97 13",,mairie
mairie-71521-01,Mairie - Sigy-le-Châtel,mairie.sigy-le.chatel@wanadoo.fr,"Adresse : 58 place du 19-Mars-01962, 71250,Sigy-le-Châtel | Tél : 03 85 59 44 73 | Fax : ",,mairie
mairie-71522-01,Mairie - Simandre,contact@simandre.fr,"Adresse : 76 place de la Mairie, 71290,Simandre | Tél : 03 85 40 20 38 | Fax : 03 85 40 28 76",http://www.simandre.fr,mairie
mairie-71523-01,Mairie - Simard,mairie.simard@wanadoo.fr,"Adresse : 1 place de la Mairie, 71330,Simard | Tél : 03 85 75 72 60 | Fax : 03 85 72 27 07",http://www.mairie-simard.fr,mairie
mairie-71524-01,Mairie - Sivignon,mairiesivignon@wanadoo.fr,"Adresse : Le Bourg, 71220,Sivignon | Tél : 03 85 59 60 82 | Fax : ",https://www.enclunisois.com,mairie
mairie-71525-01,Mairie - Sologny,mairie.sologny@wanadoo.fr,"Adresse : Place de la Mairie, 71960,Sologny | Tél : 03 85 36 60 47 | Fax : ",http://www.sologny.fr,mairie
mairie-71526-01,Mairie - Solutré-Pouilly,mairie-de-solutre-pouilly@wanadoo.fr,"Adresse : Route de la Roche, 71960,Solutré-Pouilly | Tél : 03 85 35 81 90 | Fax : ",http://www.mairie-solutre-pouilly.fr,mairie
mairie-71527-01,Mairie - Sommant,mairie.sommant@wanadoo.fr,"Adresse : Le Bourg, 71540,Sommant | Tél : 03 85 82 61 10 | Fax : ",http://sommant.fr,mairie
mairie-71529-01,Mairie - Suin,mairiesuin@wanadoo.fr,"Adresse : Le Bourg, 71220,Suin | Tél : 03 85 24 82 85 | Fax : ",,mairie
mairie-71531-01,Mairie - La Tagnière,mairie.latagniere@wanadoo.fr,"Adresse : Le Bourg, 71190,La Tagnière | Tél : 03 85 54 58 19 | Fax : ",,mairie
mairie-71533-01,Mairie - Tancon,mairie.tancon@wanadoo.fr,"Adresse : Le Bourg, 71740,Tancon | Tél : 03 85 26 25 04 | Fax : ",,mairie
