#id,name,request_email,notes,home_page,tag_string
mairie-81033-01,Mairie - Blaye-les-Mines,contact@mairie-blaye.fr,"Adresse : 145 bis avenue d'Albi, 81400,Blaye-les-Mines | Tél : 05 63 80 25 10 | Fax : 05 63 76 51 77",http://www.mairie-blaye.fr,mairie
mairie-81034-01,Mairie - Boissezon,commune.boissezon@wanadoo.fr,"Adresse : 1 rue du Fort, 81490,Boissezon | Tél : 05 63 50 52 59 | Fax : 05 63 50 74 15",http://www.boissezon.fr,mairie
mairie-81036-01,Mairie - Bout-du-Pont-de-Larn,commune-du-bout-du-pont@orange.fr,"Adresse : 23 rue de la Mairie, 81660,Bout-du-Pont-de-Larn | Tél : 05 63 97 55 60 | Fax : 05 63 97 55 64",http://www.boutdupontdelarn.fr,mairie
mairie-81039-01,Mairie - Briatexte,mairiebriatexte@wanadoo.fr,"Adresse : 2 place du Monument, 81390,Briatexte | Tél : 05 63 58 40 19 | Fax : 05 63 58 45 08",http://www.briatexte.fr,mairie
mairie-81041-01,Mairie - Broze,mairie.broze@orange.fr,"Adresse : Le Bourg, 81600,Broze | Tél : 05 63 33 17 18 | Fax : ",http://www.ville-broze.fr,mairie
mairie-81042-01,Mairie - Burlats,mairie-burlats@wanadoo.fr,"Adresse : 1 place du 8-Mai-01945, 81100,Burlats | Tél : 05 63 35 07 83 | Fax : 05 63 51 12 68",http://www.burlats.com,mairie
mairie-81043-01,Mairie - Busque,communedebusque@wanadoo.fr,"Adresse : 3 rue Paul-Vabre, 81300,Busque | Tél : 05 63 34 40 54 | Fax : ",http://busque.fr,mairie
mairie-81046-01,Mairie - Cadalen,cadalen.mairie@orange.fr,"Adresse : Rue de la Mairie, 81600,Cadalen | Tél : 05 63 33 01 44 | Fax : ",http://www.cadalen.fr,mairie
mairie-81047-01,Mairie - Cadix,mairie.cadix@orange.fr,"Adresse : Le Bourg, 81340,Cadix | Tél : 05 63 55 93 05 | Fax : ",,mairie
mairie-81048-01,Mairie - Cagnac-les-Mines,mairecagnac@gmail.com,"Adresse : Place du 8-Mai-01945, 81130,Cagnac-les-Mines | Tél : 05 63 53 73 00 | Fax : 05 63 53 73 01",http://www.cagnac-les-mines.fr,mairie
mairie-81050-01,Mairie - Cambon-lès-Lavaur,mairie.cambon.les.lavaur@wanadoo.fr,"Adresse : Le Bourg, 81470,Cambon-lès-Lavaur | Tél : 05 63 75 75 75 | Fax : 05 63 75 47 66",,mairie
mairie-81051-01,Mairie - Cahuzac-sur-Vère,mairie.cahuzacsurvere@wanadoo.fr,"Adresse : Place Hautpoul, 81140,Cahuzac-sur-Vère | Tél : 05 63 33 90 18 | Fax : 05 63 33 94 03",http://www.cahuzac-sur-vere.fr,mairie
mairie-81052-01,Mairie - Cambon,elus@mairiedecambon.fr,"Adresse : 4 place de la Mairie, 81990,Cambon | Tél : 05 63 53 00 00 | Fax : 05 63 53 03 56",http://www.cambondalbi.fr,mairie
mairie-81053-01,Mairie - Cambounès,mairie.cambounes@orange.fr,"Adresse : Le Bourg, 81260,Cambounès | Tél : 05 63 50 51 54 | Fax : 05 63 50 72 32",http://www.cambounes.com,mairie
