#id,name,request_email,notes,home_page,tag_string,valid_email,publication_scheme,_merge
gendarmerie-98743-01,Brigade de gendarmerie - Rimatara,bta.rimatara@gendarmerie.interieur.gouv.fr,"Adresse : Zone d'Amaru - Archipel des Australes,98752,Rimatara | Tél : +689 40 94 42 90 | Fax : +689 40 94 42 94",http://www.gendarmerie.interieur.gouv.fr,gendarmerie,True,,left_only
gendarmerie-98744-01,Brigade de gendarmerie - Rurutu,bta.rurutu@gendarmerie.interieur.gouv.fr,"Adresse : Île de Rurutu - Archipel des Australes,98753,Rurutu | Tél : +689 40 93 02 05 | Fax : +689 40 93 02 07",http://www.gendarmerie.interieur.gouv.fr,gendarmerie,True,,left_only
gendarmerie-98745-01,Brigade de gendarmerie - Tahaa,bta.tahaa@gendarmerie.interieur.gouv.fr,"Adresse : Île de Taha'a - Zone de Patio - Îles-Sous-le Vent,98733,Tahaa | Tél : +689 40 60 81 05 | Fax : +689 40 60 81 07",http://www.gendarmerie.interieur.gouv.fr,gendarmerie,True,,left_only
gendarmerie-98753-01,Brigade de gendarmerie - Tubuai,bta.tubuai@gendarmerie.interieur.gouv.fr,"Adresse : Île de Tubuai - Zone de Mataura - Archipel des Australes,98754,Tubuai | Tél : +689 40 93 22 05 | Fax : +689 40 93 22 08",http://www.gendarmerie.interieur.gouv.fr,gendarmerie,True,,left_only
gendarmerie-98757-01,Brigade de gendarmerie - Ua-Pou,bta.ua-pou@gendarmerie.interieur.gouv.fr,"Adresse : Île de Ua-Pou - Zone Zone de Hakahau - Îles Marquises,98745,Ua Pou | Tél : +689 40 91 53 05 | Fax : +689 40 93 53 08",http://www.gendarmerie.interieur.gouv.fr,gendarmerie,True,,left_only
gendarmerie-98758-01,Brigade de gendarmerie - Raïatea,bta.raiatea@gendarmerie.interieur.gouv.fr,"Adresse : Île de Raïatea - Îles-Sous-le Vent,98735,Uturoa | Tél : +689 40 60 03 05 | Fax : +689 40 60 03 07",http://www.gendarmerie.interieur.gouv.fr,gendarmerie,True,,left_only
maia-98735-01,Mission d'accueil et d'information des associations (Maia)  - Polynésie française,gerard.dubois@jeunesse.gov.pf,"Adresse : BP 67 - Mission d'aide et d'assistance technique - S.J.S Polynésie française,98713,Papeete - Tahiti | Tél : +689 42 86 43 | Fax : +689 42 86 43",http://www.associations.gouv.fr/,maia,True,,left_only
mairie_com-98714-01,Mairie - Bora-Bora,mairieborabora@mail.pf,"Adresse : Hôtel de Ville - Îles-sous-le-Vent,98730,Bora Bora | Tél : | Fax : +689 67 74 42",,mairie_com,True,,left_only
mairie_com-98724-01,Mairie - Huahine,mairie2fare@mail.pf,"Adresse : Hôtel de Ville - Îles-sous-le-Vent,98731,Huahine | Tél : | Fax : +689 60 63 20",http://www.ville-huahine.pf,mairie_com,True,,left_only
mairie_com-98728-01,Mairie - Maupiti,courrier@commune-maupiti.pf,"Adresse : Hôtel de Ville - Îles-sous-le-Vent,98732,Maupiti | Tél : +689 40 60 15 55 | Fax : +689 40 67 81 02",,mairie_com,True,,left_only
mairie_com-98729-01,Mairie - Moorea-Maiao,courrier@commune-moorea.pf,"Adresse : Afareaitu - Hôtel de Ville - Îles-du-Vent,98728,Moorea-Maiao | Tél : +689 55 04 55 | Fax : +689 56 19 26",http://www.commune-moorea.pf,mairie_com,True,,left_only
mairie_com-98734-01,Mairie - Papara,mairie@papara.pf,"Adresse : Îles-du-Vent - BP 12 050,98712,Papara | Tél : +689 54 75 47 | Fax : +689 57 37 78",https://www.facebook.com/MairieDePapara/,mairie_com,True,,left_only
mairie_com-98735-01,Mairie - Papeete,info@villedepapeete.pf,"Adresse : Îles-du-Vent - Rue Gauguin - BP 106,98714,Papeete | Tél : 40 415 700 | Fax : 40 45 46 36",http://www.ville-papeete.pf,mairie_com,True,,left_only
mairie_com-98745-01,Mairie - Tahaa (Îles-sous-le-Vent),courrier@commune-tahaa.pf,"Adresse : Îles-sous-le-Vent - Hôtel de Ville,98733,Tahaa | Tél : 40 60 80 80 | Fax : 40 65 62 37",https://spc.pf/iles-sous-vent/tahaa,mairie_com,True,,left_only
