#id,name,request_email,notes,home_page,tag_string
mairie-01286-01,Mairie - Parves-et-Nattages,http://www.parvesetnattages.fr/fr/nous-contacter,"67 route de Sorbier,1300,Parves-et -Nattages- Tél : 04 79 81 27 54- Fax : 04 79 81 27 54",http://www.parvesetnattages.fr,Mairie - Parves-et-Nattages
mairie-01348-01,Mairie - Saint-Didier-sur-Chalaronne,http://www.saintdidiersurchalaronne.fr/fr/nous-contacter,"1 place de la Fontaine,1140,Saint-Didier-sur-Chalaronne- Tél : 04 74 69 73 37- Fax : 04 74 69 72 50",http://www.saintdidiersurchalaronne.fr/,Mairie - Saint-Didier-sur-Chalaronne
mairie-03029-01,Mairie - Billy,http://www.billy-allier.fr/contact.html,"1 rue Chabotin,3260,Billy- Tél : 04 70 43 50 14- Fax : 09 82 11 04 07",http://www.billy-allier.fr/,Mairie - Billy
mairie-06088-01,Mairie - Nice,http://www.nice.fr/fr/contact,"5 rue de l'Hôtel-de-Ville,6364,Nice- Tél : 3906- Fax : 04 97 13 29 03",http://www.nice.fr,Mairie - Nice
mairie-13001-01,Mairie - Aix-en-Provence,http://www.aixenprovence.fr/Nous-contacter-3595,"Place de l'Hôtel-de-Ville - CS 30715,13616,Aix-en-Provence Cedex 1- Tél : 04 42 91 90 00- Fax : 04 42 91 94 92",http://aixenprovence.fr,Mairie - Aix-en-Provence
mairie-26196-01,Mairie - Montéléger,http://www.monteleger.fr/fr/contact,"4 cours des Platanes,26760,Montéléger- Tél : 04 75 59 50 18- Fax : ",http://www.monteleger.fr,Mairie - Montéléger
mairie-27534-01,Mairie - Saint-Didier-des-Bois,http://www.saint-didier-des-bois.com/index.php/contact,"1 rue d'Elbeuf,27370,Saint-Didier-des-Bois- Tél : 02 32 50 61 98- Fax : ",http://www.saint-didier-des-bois.com,Mairie - Saint-Didier-des-Bois
mairie-28195-01,Mairie - Houx,https://www.ville-houx.com/contact/,"10 rue de la Mairie,28130,Houx- Tél : 02 37 32 31 54- Fax : 02 37 32 31 94",https://www.ville-houx.com/,Mairie - Houx
mairie-29075-01,Mairie - Guipavas,https://www.guipavas.bzh/contact-9.html,"Place Saint-Éloi,29490,Guipavas- Tél : 02 98 84 75 54- Fax : 02 98 84 80 27",https://www.guipavas.bzh/,Mairie - Guipavas
mairie-2B083-01,Mairie - Castirla,http://mairiecastirla.corsica/contact/,"Village,20236,Castirla- Tél : 04 95 47 41 40- Fax : 04 95 46 35 09",http://mairiecastirla.corsica/,Mairie - Castirla
mairie-30297-01,Mairie - Saint-Sauveur-Camprieu,http://www.saint-sauveur-camprieu.fr/nous-contacter,"Place de la Mairie,30750,Saint-Sauveur-Camprieu- Tél : 04 67 82 60 26- Fax : 04 67 81 08 55",http://www.saint-sauveur-samprieu.fr,Mairie - Saint-Sauveur-Camprieu
mairie-33063-01,Mairie - Bordeaux,http://www.bordeaux.fr/pgPresStand8.psml?_nfpb=true&_pageLabel=pgPresS,"Place Pey-Berland,33045,Bordeaux Cedex- Tél : 05 56 10 20 30- Fax : ",http://www.bordeaux.fr,Mairie - Bordeaux
mairie-33122-01,Mairie - Cestas,https://www.mairie-cestas.fr/nous-contacter,"2 avenue Baron-Haussmann,33610,Cestas- Tél : 05 56 78 13 00- Fax : 05 57 83 59 64",http://www.mairie-cestas.fr,Mairie - Cestas
mairie-33275-01,Mairie - Martres,http://www.martres.fr/contact,"Le Bourg,33760,Martres- Tél : 05 56 71 53 16- Fax : ",http://www.martres.fr,Mairie - Martres
mairie-37154-01,Mairie - Montbazon,http://www.ville-montbazon.fr/fr/nous-contacter,"Place André-Delaunay,37250,Montbazon- Tél : 02 47 26 01 30- Fax : 02 47 73 13 92",http://www.ville-montbazon.fr/,Mairie - Montbazon
mairie-39478-01,Mairie - Saint-Claude,http://www.saint-claude.fr/contact/,"32 rue du Pré - BP 123,39206,Saint-Claude Cedex- Tél : 03 84 41 42 43- Fax : 03 84 45 27 10",http://www.saint-claude.fr,Mairie - Saint-Claude
mairie-44026-01,Mairie - Carquefou,https://www.carquefou.fr/systeme/nous-contacter/,"Rue de l'Hôtel-de-Ville - BP 60139,44470,Carquefou Cedex- Tél : 02 28 22 22 22- Fax : 02 28 22 22 21",http://www.carquefou.fr,Mairie - Carquefou
mairie-45037-01,Mairie - Boisseaux,http://mairieboisseaux.fr/fr/nous-contacter,"4 place de l'Église,45480,Boisseaux- Tél : 02 38 39 53 87- Fax : 02 38 39 64 43",http://mairieboisseaux.fr,Mairie - Boisseaux
